Word,Count
hold,72
within,72
comrades,72
bunk,71
wife,71
munkács,71
threatened,71
wait,70
strong,70
gold,70
severely,70
fact,70
cooked,70
staying,70
early,70
streets,70
recovered,70
raids,70
impossible,70
hot,69
believe,69
swedish,69
dark,69
robbed,69
believed,69
workplace,69
via,69
unit,69
dress,69
prisoner,69
dressed,69
injured,68
showed,68
jewellery,68
entire,68
condition,68
inside,67
leader,67
danube,67
construction,67
captured,67
crossed,67
wet,66
drafted,66
lives,66
windows,66
lagerführer,66
kilos,65
capos,65
french,65
thrown,65
joined,65
surrounded,65
fence,65
neither,65
pack,65
sitting,64
need,64
name,64
ungvár,64
chance,64
named,63
healthy,63
watch,63
woke,63
gendarme,63
physician,63
suddenly,63
live,63
talk,63
best,63
think,63
machine,62
tents,62
month,62
informed,62
wear,62
whatever,62
state,62
friends,62
hid,62
community,61
body,61
cases,61
gate,61
quarantine,61
serious,61
boy,61
plenty,61
poland,61
period,61
indeed,61
continuously,61
cruel,61
worst,60
birkenau,60
deportation,60
supplies,60
save,60
receive,60
boys,60
camps,60
numbers,60
approximately,60
stones,59
short,59
typhoid,59
gestapo,59
clothing,59
everywhere,59
neighbouring,59
door,59
saved,59
child,59
gathered,58
caused,58
army,58
exchange,58
quarter,58
search,58
sunday,58
tell,58
human,58
undress,58
female,58
undressed,58
centre,58
trucks,58
chief,58
occupied,57
shaved,57
ragged,57
seven,57
clubs,57
accommodation,57
according,57
outdoors,57
eyes,57
scarce,57
financial,57
arrested,56
departed,56
sleeping,56
anyone,56
opportunity,56
otherwise,56
realised,56
proper,56
afraid,56
carrying,56
theresienstadt,56
done,56
wagons,55
teleki,55
taking,55
zulag,55
use,55
colonel,55
weather,55
various,55
tortured,55
crematoria,55
blood,55
bor,55
amount,54
cellar,54
behaved,54
certain,54
tired,54
jew,54
allow,54
doors,54
meet,54
placed,54
barefoot,54
empty,53
destroyed,53
rounded,53
picked,53
mothers,53
declared,53
son,53
counted,53
rather,53
tent,52
earlier,52
tolerable,52
replaced,52
pushed,52
arms,52
luckily,52
decided,52
synagogue,52
whose,52
moment,52
row,52
shouting,52
aircraft,52
announced,51
exhausted,51
population,51
year,51
victims,51
emigrate,51
leaders,51
decent,51
wood,51
special,51
grabbed,51
raw,51
raining,50
punished,50
age,50
degrees,50
window,50
break,50
vadász,50
promised,50
zürndorf,50
portion,50
sopron,50
craftsmen,50
appell,50
pulled,50
shop,50
quickly,50
though,50
onto,49
driven,49
garrison,49
letter,49
kicked,49
coats,49
invaded,49
wearing,49
spread,49
committee,49
kilograms,48
legs,48
ethnic,48
lack,48
flames,48
member,48
truck,48
daughter,48
metres,48
sure,48
apart,48
thirst,48
disinfecting,48
workers,48
club,48
drove,48
pengős,47
lines,47
constant,47
meantime,47
thanks,47
sausage,47
blows,47
thus,47
held,47
fields,47
blanket,46
pouring,46
wehrmacht,46
moreover,46
scared,46
jam,46
hide,46
couple,46
frozen,46
barn,46
secret,46
frequent,46
cruelly,46
continuous,46
government,46
fast,46
running,45
